MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
2720.0,43.55,53.28,2558.51,87.02,-269.71,-29.34,3.307,3.27,-0.72
2730.0,44.36,52.96,2565.71,91.19,-264.16,-23.33,2.52,2.43,-0.96
2740.0,45.45,52.84,2572.8,95.45,-258.53,-17.21,3.28,3.27,-0.36
2750.0,46.51,52.65,2579.75,99.8,-252.8,-10.97,3.206,3.18,-0.57
2760.0,47.27,52.31,2586.58,104.25,-247.01,-4.61,2.399,2.28,-1.02
2770.0,48.09,51.97,2593.31,108.78,-241.18,1.85,2.573,2.46,-1.02
2780.0,49.38,51.74,2599.91,113.43,-235.27,8.44,3.905,3.87,-0.69
2790.0,50.52,51.27,2606.34,118.19,-229.28,15.17,3.586,3.42,-1.41
2800.0,51.28,51.01,2612.65,123.06,-223.23,22.01,2.359,2.28,-0.78
2810.0,52.21,50.85,2618.84,128.01,-217.14,28.95,2.815,2.79,-0.48
2820.0,52.67,50.8,2624.94,133.02,-210.99,35.96,1.385,1.38,-0.15
2830.0,53.08,50.36,2630.97,138.08,-204.83,43.03,1.619,1.23,-1.32
2840.0,53.5,50.18,2636.95,143.2,-198.67,50.16,1.332,1.26,-0.54
2850.0,53.62,49.84,2642.89,148.37,-192.5,57.33,0.896,0.36,-1.02
2860.0,54.26,49.55,2648.78,153.6,-186.34,64.55,2.045,1.92,-0.87
2870.0,55.16,48.96,2654.55,158.93,-180.15,71.87,3.062,2.7,-1.77
2880.0,56.3,48.39,2660.18,164.39,-173.95,79.32,3.7,3.42,-1.71
2890.0,57.85,47.94,2665.62,169.99,-167.69,86.92,4.786,4.65,-1.35
2900.0,59.48,47.58,2670.82,175.73,-161.37,94.68,4.976,4.89,-1.08
2910.0,60.79,47.21,2675.8,181.6,-154.99,102.58,4.046,3.93,-1.11
2920.0,61.84,46.99,2680.6,187.57,-148.56,110.59,3.203,3.15,-0.66
2930.0,62.96,46.59,2685.23,193.64,-142.1,118.7,3.524,3.36,-1.2
2940.0,64.55,46.35,2689.65,199.82,-135.6,126.93,4.814,4.77,-0.72
2950.0,66.06,45.95,2693.83,206.11,-129.05,135.28,4.659,4.53,-1.2
2960.0,66.83,45.86,2697.83,212.49,-122.47,143.73,2.323,2.31,-0.27
2970.0,68.07,45.8,2701.66,218.92,-115.84,152.24,3.724,3.72,-0.18
2980.0,69.69,45.3,2705.27,225.46,-109.18,160.86,5.057,4.86,-1.5
2990.0,70.89,44.74,2708.64,232.11,-102.52,169.59,3.932,3.6,-1.68
3000.0,71.87,44.31,2711.83,238.87,-95.88,178.41,3.184,2.94,-1.29
3010.0,72.93,43.75,2714.85,245.72,-89.25,187.31,3.56,3.18,-1.68
3020.0,74.47,43.11,2717.66,252.69,-82.66,196.3,4.974,4.62,-1.92
3030.0,75.12,42.6,2720.28,259.76,-76.09,205.38,2.446,1.95,-1.53
3040.0,75.04,42.3,2722.86,266.89,-69.57,214.49,0.902,-0.24,-0.9
3050.0,75.15,41.6,2725.43,274.08,-63.11,223.63,2.056,0.33,-2.1
3060.0,75.2,41.08,2727.99,281.34,-56.73,232.81,1.516,0.15,-1.56
3070.0,75.12,40.53,2730.55,288.66,-50.41,242.02,1.613,-0.24,-1.65
3080.0,74.75,40.21,2733.15,296.01,-44.15,251.23,1.446,-1.11,-0.96
3090.0,74.93,40.06,2735.76,303.39,-37.93,260.46,0.693,0.54,-0.45
3100.0,74.99,40.38,2738.36,310.77,-31.7,269.68,0.944,0.18,0.96
3110.0,75.01,40.46,2740.95,318.12,-25.43,278.9,0.239,0.06,0.24
3120.0,75.07,40.51,2743.53,325.47,-19.16,288.12,0.231,0.18,0.15
3130.0,75.14,40.67,2746.1,332.81,-12.87,297.33,0.509,0.21,0.48
3140.0,75.37,40.74,2748.64,340.14,-6.57,306.55,0.719,0.69,0.21
3144.0,75.22,40.75,2749.66,343.07,-4.04,310.23,1.127,-1.125,0.075
3168.1,75.05,41.07,2755.84,360.67,11.21,332.4,0.439,-0.212,0.398
3208.4,72.06,41.84,2767.25,389.64,36.8,369.07,2.293,-2.226,0.573
3248.8,67.68,41.55,2781.15,417.95,62.02,404.99,3.259,-3.252,-0.215
3288.7,63.3,40.68,2797.7,445.3,85.89,439.49,3.347,-3.293,-0.654
3329.4,57.55,40.55,2817.78,472.15,108.93,473.22,4.239,-4.238,-0.096
